DATE,Price,LSTM,ARFIMA,PROPHET,SARIMAX,VARIMAX
31-12-2013,1202.6,,,,,
02-01-2014,1225.5,,,,,
03-01-2014,1239,,,,,
06-01-2014,1238.3,,,,,
07-01-2014,1229.9,,,,,
08-01-2014,1225.8,,,,,
09-01-2014,1229.7,,,,,
10-01-2014,1247.3,,,,,
13-01-2014,1251.5,,,,,
14-01-2014,1245.8,,,,,
15-01-2014,1238.6,,,,,
16-01-2014,1240.4,,,,,
17-01-2014,1252.1,,,,,
20-01-2014,1241.8,,,,,
21-01-2014,1241.8,,,,,
22-01-2014,1238.5,,,,,
23-01-2014,1262.3,,,,,
24-01-2014,1264.4,,,,,
27-01-2014,1263.5,,,,,
28-01-2014,1250.6,,,,,
29-01-2014,1262.2,,,,,
30-01-2014,1242.5,,,,,
31-01-2014,1239.8,,,,,
03-02-2014,1259.9,,,,,
04-02-2014,1251.2,,,,,
05-02-2014,1256.9,,,,,
06-02-2014,1257.2,,,,,
07-02-2014,1262.9,,,,,
10-02-2014,1274.7,,,,,
11-02-2014,1289.8,,,,,
12-02-2014,1295,,,,,
13-02-2014,1300.1,,,,,
14-02-2014,1318.6,,,,,
17-02-2014,1324.4,,,,,
18-02-2014,1324.4,,,,,
19-02-2014,1320.4,,,,,
20-02-2014,1316.9,,,,,
21-02-2014,1323.6,,,,,
24-02-2014,1338,,,,,
25-02-2014,1342.7,,,,,
26-02-2014,1328,,,,,
27-02-2014,1331.9,,,,,
28-02-2014,1321.7,,,,,
03-03-2014,1350.4,,,,,
04-03-2014,1338.2,,,,,
05-03-2014,1340.7,,,,,
06-03-2014,1352.2,,,,,
07-03-2014,1338.6,,,,,
10-03-2014,1341.9,,,,,
11-03-2014,1347.1,,,,,
12-03-2014,1370.7,,,,,
13-03-2014,1372.6,,,,,
14-03-2014,1379.2,,,,,
17-03-2014,1373.1,,,,,
18-03-2014,1359.1,,,,,
19-03-2014,1341.5,,,,,
20-03-2014,1330.7,,,,,
21-03-2014,1336,,,,,
24-03-2014,1311.2,,,,,
25-03-2014,1311.5,,,,,
26-03-2014,1303.5,,,,,
27-03-2014,1294.8,,,,,
28-03-2014,1294.3,,,,,
31-03-2014,1283.8,,,,,
01-04-2014,1280,,,,,
02-04-2014,1290.8,,,,,
03-04-2014,1284.6,,,,,
04-04-2014,1303.5,,,,,
07-04-2014,1298.3,,,,,
08-04-2014,1309.1,,,,,
09-04-2014,1305.9,,,,,
10-04-2014,1320.5,,,,,
11-04-2014,1319,,,,,
14-04-2014,1327.5,,,,,
15-04-2014,1300.3,,,,,
16-04-2014,1303.5,,,,,
17-04-2014,1293.9,,,,,
21-04-2014,1288.5,,,,,
22-04-2014,1281.1,,,,,
23-04-2014,1284.6,,,,,
24-04-2014,1290.6,,,,,
25-04-2014,1300.8,,,,,
28-04-2014,1299,,,,,
29-04-2014,1296.4,,,,,
30-04-2014,1296,,,,,
01-05-2014,1283.6,,,,,
02-05-2014,1303.1,,,,,
05-05-2014,1309.5,,,,,
06-05-2014,1308.8,,,,,
07-05-2014,1289.1,,,,,
08-05-2014,1287.9,,,,,
